Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,7-Day_MA,30-Day_MA,Volatility,RSI,Upper_Band,Lower_Band
2024-01-09,21653.6,21724.45,21517.85,21544.85,228568589.0,24055.74,0.0014805001626922998,21621.757142857143,21159.718333333334,0.006935434366833441,52.99998111376345,21812.026744813415,21431.48754090087
2024-01-10,21529.3,21641.85,21448.65,21618.7,216991926.0,20958.96,0.003427733309816494,21604.157142857144,21217.351666666666,0.006926665476393797,66.91102912469498,21762.714182315915,21445.600103398374
2024-01-11,21688.0,21726.5,21593.75,21647.2,212453866.0,23492.12,0.0013183031357111297,21601.5,21269.038333333334,0.0067801220131843065,64.95945731919508,21755.802570728287,21447.197429271713
2024-01-12,21773.55,21928.25,21715.15,21894.55,294678459.0,30565.5,0.01142642004508665,21655.385714285712,21327.751666666663,0.006970921903178878,68.52193774511252,21905.965460170428,21404.805968400997
2024-01-15,22053.15,22115.55,21963.55,22097.45,345543523.0,29523.15,0.009267146390311787,21718.07857142857,21388.736666666668,0.007035742531161969,70.64082292654427,22136.076222367556,21300.080920489585
2024-01-16,22080.5,22124.15,21969.8,22032.3,292433764.0,24435.94,-0.002948303989826928,21764.007142857143,21433.586666666666,0.006258425038181493,63.13572023330576,22244.284248386102,21283.730037328183
2024-01-17,21647.25,21851.5,21550.45,21571.95,455999867.0,47533.44,-0.02089432333437724,21772.428571428572,21457.48166666667,0.007430925591253315,44.441853132442624,22233.864059361444,21310.9930834957
2024-01-18,21414.2,21539.4,21285.55,21462.25,387341268.0,39718.84,-0.005085307540579342,21760.62857142857,21474.966666666667,0.007496352177965513,42.91440279047623,22252.447050331622,21268.810092525517
2024-01-19,21615.2,21670.6,21575.0,21622.4,343055124.0,34429.24,0.007461938985893868,21761.157142857144,21499.008333333335,0.007574398475664594,47.25662825268853,22252.27124171328,21270.04304400101
2024-01-20,21706.15,21720.3,21541.8,21571.8,162073740.0,13917.46,-0.0023401657540329523,21750.385714285716,21519.088333333333,0.007589778318737277,47.861759233287216,22256.249542189023,21244.52188638241
2024-01-23,21716.7,21750.25,21192.6,21238.8,449718534.0,48813.68,-0.015436820293160514,21656.707142857143,21527.145,0.008158599356696935,43.71852722843556,22269.54436819674,21043.869917517546
2024-01-24,21185.25,21482.35,21137.2,21453.95,407460664.0,41718.64,0.010130045011959243,21564.778571428575,21545.396666666667,0.008294904445082277,45.671808216260814,22048.55148942885,21081.0056534283
2024-01-25,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5,-0.00472407179097567,21467.678571428572,21559.604999999996,0.008358063168397701,42.37157959414201,21740.318681324068,21195.038461533077
2024-01-29,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42,0.01803059112239258,21491.342857142856,21578.10166666667,0.008693274871619706,54.875635048773866,21827.561042396504,21155.124671889207
